PWM, LIGTH
0, 127
1, 135
2, 143
3, 151
4, 160
5, 167
6, 175
7, 184
8, 191
9, 199
10, 207
11, 215
12, 222
13, 190
14, 204
15, 215
16, 246
17, 259
18, 240
19, 265
20, 266
21, 249
22, 303
23, 313
24, 322
25, 330
26, 339
27, 346
28, 354
29, 362
30, 371
31, 380
32, 386
33, 395
34, 402
35, 410
36, 418
37, 427
38, 434
39, 443
40, 451
41, 458
42, 467
43, 475
44, 484
45, 490
46, 499
47, 507
48, 515
49, 523
50, 530
51, 539
52, 547
53, 555
54, 564
55, 571
56, 580
57, 587
58, 596
59, 603
60, 612
61, 619
62, 628
63, 635
64, 644
65, 651
66, 660
67, 667
68, 674
69, 682
70, 690
71, 698
72, 707
73, 715
74, 723
75, 730
76, 739
77, 747
78, 755
79, 763
80, 770
81, 779
82, 787
83, 794
84, 804
85, 811
86, 819
87, 826
88, 834
89, 842
90, 850
91, 859
92, 867
93, 874
94, 883
95, 891
96, 899
97, 908
98, 915
99, 923
100, 930
